timestamp,panel_id,voltage_v,current_a,power_w,temperature_c,efficiency_pct
2026-08-01 00:00:00,PANEL_01,0.0,0.0,0.0,18.33,0.0
2026-08-01 00:00:00,PANEL_02,0.0,0.0,0.0,17.97,0.0
2026-08-01 00:00:00,PANEL_03,0.0,0.0,0.0,18.14,0.0
2026-08-01 01:00:00,PANEL_01,0.0,0.0,0.0,17.44,0.0
2026-08-01 01:00:00,PANEL_02,0.0,0.0,0.0,19.22,0.0
2026-08-01 01:00:00,PANEL_03,0.0,0.0,0.0,18.06,0.0
2026-08-01 02:00:00,PANEL_01,0.0,0.0,0.0,18.05,0.0
2026-08-01 02:00:00,PANEL_02,0.0,0.0,0.0,18.36,0.0
2026-08-01 02:00:00,PANEL_03,0.0,0.0,0.0,18.24,0.0
2026-08-01 03:00:00,PANEL_01,0.0,0.0,0.0,18.11,0.0
2026-08-01 03:00:00,PANEL_02,0.0,0.0,0.0,17.6,0.0
2026-08-01 03:00:00,PANEL_03,0.0,0.0,0.0,18.24,0.0
2026-08-01 04:00:00,PANEL_01,0.0,0.0,0.0,18.94,0.0
2026-08-01 04:00:00,PANEL_02,0.0,0.0,0.0,18.67,0.0
2026-08-01 04:00:00,PANEL_03,0.0,0.0,0.0,18.8,0.0
2026-08-01 05:00:00,PANEL_01,0.0,0.0,0.0,17.74,0.0
2026-08-01 05:00:00,PANEL_02,0.0,0.0,0.0,17.51,0.0
2026-08-01 05:00:00,PANEL_03,0.0,0.0,0.0,17.94,0.0
2026-08-01 06:00:00,PANEL_01,30.03,0.11,3.29,22.31,0.0
2026-08-01 06:00:00,PANEL_02,30.76,0.0,0.0,23.57,0.0
2026-08-01 06:00:00,PANEL_03,29.49,0.0,0.0,24.82,0.0
2026-08-01 07:00:00,PANEL_01,33.14,2.47,81.78,26.59,90.28
2026-08-01 07:00:00,PANEL_02,32.94,3.15,103.85,27.62,100.0
2026-08-01 07:00:00,PANEL_03,32.35,2.86,92.64,27.61,94.19
2026-08-01 08:00:00,PANEL_01,34.65,4.79,166.06,31.27,94.89
2026-08-01 08:00:00,PANEL_02,36.35,5.41,196.72,32.63,98.36
2026-08-01 08:00:00,PANEL_03,35.87,4.92,176.53,34.07,92.91
2026-08-01 09:00:00,PANEL_01,38.51,6.11,235.17,34.58,95.02
2026-08-01 09:00:00,PANEL_02,38.58,6.95,268.14,34.03,94.8
2026-08-01 09:00:00,PANEL_03,38.21,6.68,255.14,34.06,94.95
2026-08-01 10:00:00,PANEL_01,40.04,7.2,288.38,36.74,95.14
2026-08-01 10:00:00,PANEL_02,41.14,7.73,318.18,38.08,91.85
2026-08-01 10:00:00,PANEL_03,41.02,7.42,304.13,36.65,92.42
2026-08-01 11:00:00,PANEL_01,41.41,7.62,315.34,37.71,93.28
2026-08-01 11:00:00,PANEL_02,41.04,9.12,374.24,39.42,96.86
2026-08-01 11:00:00,PANEL_03,42.23,8.33,351.75,37.36,95.83
2026-08-01 12:00:00,PANEL_01,41.74,8.02,334.54,37.78,95.58
2026-08-01 12:00:00,PANEL_02,42.36,8.95,378.98,38.63,94.75
2026-08-01 12:00:00,PANEL_03,42.36,8.57,362.88,38.64,95.5
2026-08-01 13:00:00,PANEL_01,42.17,7.51,316.61,39.1,93.65
2026-08-01 13:00:00,PANEL_02,41.89,8.73,365.76,38.82,94.66
2026-08-01 13:00:00,PANEL_03,40.97,8.6,352.48,38.3,96.03
2026-08-01 14:00:00,PANEL_01,40.13,7.28,292.16,36.29,96.39
2026-08-01 14:00:00,PANEL_02,39.69,8.14,322.91,37.6,93.22
2026-08-01 14:00:00,PANEL_03,39.75,8.04,319.61,34.91,97.12
2026-08-01 15:00:00,PANEL_01,39.33,6.0,235.94,34.51,95.34
2026-08-01 15:00:00,PANEL_02,38.21,7.07,270.23,34.57,95.54
2026-08-01 15:00:00,PANEL_03,39.04,6.55,255.71,34.76,95.17
2026-08-01 16:00:00,PANEL_01,35.82,4.64,166.05,31.81,94.88
2026-08-01 16:00:00,PANEL_02,35.14,5.27,185.26,32.24,92.63
2026-08-01 16:00:00,PANEL_03,36.09,4.98,179.84,31.52,94.65
2026-08-01 17:00:00,PANEL_01,33.28,2.53,84.26,27.1,93.02
2026-08-01 17:00:00,PANEL_02,33.2,2.86,95.1,28.29,91.86
2026-08-01 17:00:00,PANEL_03,32.25,3.0,96.75,28.35,98.38
2026-08-01 18:00:00,PANEL_01,30.13,0.1,2.96,25.67,100.0
2026-08-01 18:00:00,PANEL_02,30.51,0.0,0.0,22.72,0.0
2026-08-01 18:00:00,PANEL_03,29.69,0.0,0.08,24.52,100.0
2026-08-01 19:00:00,PANEL_01,0.0,0.0,0.0,17.64,0.0
2026-08-01 19:00:00,PANEL_02,0.0,0.0,0.0,18.09,0.0
2026-08-01 19:00:00,PANEL_03,0.0,0.0,0.0,17.62,0.0
2026-08-01 20:00:00,PANEL_01,0.0,0.0,0.0,17.69,0.0
2026-08-01 20:00:00,PANEL_02,0.0,0.0,0.0,17.3,0.0
2026-08-01 20:00:00,PANEL_03,0.0,0.0,0.0,17.54,0.0
2026-08-01 21:00:00,PANEL_01,0.0,0.0,0.0,17.32,0.0
2026-08-01 21:00:00,PANEL_02,0.0,0.0,0.0,17.51,0.0
2026-08-01 21:00:00,PANEL_03,0.0,0.0,0.0,18.53,0.0
2026-08-01 22:00:00,PANEL_01,0.0,0.0,0.0,17.53,0.0
2026-08-01 22:00:00,PANEL_02,0.0,0.0,0.0,19.32,0.0
