timestamp,panel_id,voltage_v,current_a,power_w,temperature_c,efficiency_pct,rated_capacity_w,install_year,location_id,solar_radiation_w_m2,ambient_temp_c,wind_speed_m_s,manufacturer_NovaPower,manufacturer_SolarTech,voltage_v_scaled,ambient_temp_c_scaled,efficiency_pct_scaled
2026-08-01 00:00:00,PANEL_01,0.0,0.0,0.0,18.33,0.0,350,2024,LOC_A,0.0,21.15,3.33,0,1,-1.0721826459845616,-0.8928904239266232,1e-06
2026-08-01 00:00:00,PANEL_02,0.0,0.0,0.0,17.97,0.0,400,2025,LOC_A,0.0,21.15,3.33,0,0,-1.0721826459845616,-0.8928904239266232,1e-06
2026-08-01 00:00:00,PANEL_03,0.0,0.0,0.0,18.14,0.0,380,2023,LOC_B,0.0,21.15,3.33,1,0,-1.0721826459845616,-0.8928904239266232,1e-06
2026-08-01 01:00:00,PANEL_01,0.0,0.0,0.0,17.44,0.0,350,2024,LOC_A,0.0,20.32,5.33,0,1,-1.0721826459845616,-1.0840390240837245,1e-06
2026-08-01 01:00:00,PANEL_02,0.0,0.0,0.0,19.22,0.0,400,2025,LOC_A,0.0,20.32,5.33,0,0,-1.0721826459845616,-1.0840390240837245,1e-06
2026-08-01 01:00:00,PANEL_03,0.0,0.0,0.0,18.06,0.0,380,2023,LOC_B,0.0,20.32,5.33,1,0,-1.0721826459845616,-1.0840390240837245,1e-06
2026-08-01 02:00:00,PANEL_01,0.0,0.0,0.0,18.05,0.0,350,2024,LOC_A,0.0,19.02,3.22,0,1,-1.0721826459845616,-1.3834283978237638,1e-06
2026-08-01 02:00:00,PANEL_02,0.0,0.0,0.0,18.36,0.0,400,2025,LOC_A,0.0,19.02,3.22,0,0,-1.0721826459845616,-1.3834283978237638,1e-06
2026-08-01 02:00:00,PANEL_03,0.0,0.0,0.0,18.24,0.0,380,2023,LOC_B,0.0,19.02,3.22,1,0,-1.0721826459845616,-1.3834283978237638,1e-06
2026-08-01 03:00:00,PANEL_01,0.0,0.0,0.0,18.11,0.0,350,2024,LOC_A,0.0,20.26,4.42,0,1,-1.0721826459845616,-1.0978569951794184,1e-06
2026-08-01 03:00:00,PANEL_02,0.0,0.0,0.0,17.6,0.0,400,2025,LOC_A,0.0,20.26,4.42,0,0,-1.0721826459845616,-1.0978569951794184,1e-06
2026-08-01 03:00:00,PANEL_03,0.0,0.0,0.0,18.24,0.0,380,2023,LOC_B,0.0,20.26,4.42,1,0,-1.0721826459845616,-1.0978569951794184,1e-06
2026-08-01 04:00:00,PANEL_01,0.0,0.0,0.0,18.94,0.0,350,2024,LOC_A,0.0,18.83,4.15,0,1,-1.0721826459845616,-1.427185306293462,1e-06
2026-08-01 04:00:00,PANEL_02,0.0,0.0,0.0,18.67,0.0,400,2025,LOC_A,0.0,18.83,4.15,0,0,-1.0721826459845616,-1.427185306293462,1e-06
2026-08-01 04:00:00,PANEL_03,0.0,0.0,0.0,18.8,0.0,380,2023,LOC_B,0.0,18.83,4.15,1,0,-1.0721826459845616,-1.427185306293462,1e-06
2026-08-01 05:00:00,PANEL_01,0.0,0.0,0.0,17.74,0.0,350,2024,LOC_A,0.0,19.43,2.94,0,1,-1.0721826459845616,-1.2890055953365207,1e-06
2026-08-01 05:00:00,PANEL_02,0.0,0.0,0.0,17.51,0.0,400,2025,LOC_A,0.0,19.43,2.94,0,0,-1.0721826459845616,-1.2890055953365207,1e-06
2026-08-01 05:00:00,PANEL_03,0.0,0.0,0.0,17.94,0.0,380,2023,LOC_B,0.0,19.43,2.94,1,0,-1.0721826459845616,-1.2890055953365207,1e-06
2026-08-01 06:00:00,PANEL_01,30.03,0.11,3.29,22.31,0.0,350,2024,LOC_A,7.26,19.23,1.43,0,1,0.5329910873434953,-1.3350654989888342,1e-06
2026-08-01 06:00:00,PANEL_02,30.76,0.0,0.0,23.57,0.0,400,2025,LOC_A,7.26,19.23,1.43,0,0,0.5720112946471744,-1.3350654989888342,1e-06
2026-08-01 06:00:00,PANEL_03,29.49,0.0,0.0,24.82,0.0,380,2023,LOC_B,7.26,19.23,1.43,1,0,0.5041268244065271,-1.3350654989888342,1e-06
2026-08-01 07:00:00,PANEL_01,33.14,2.47,81.78,26.59,90.28,350,2024,LOC_A,203.13,21.19,3.88,0,1,0.6992278609249224,-0.8836784431961598,0.9027991943999999
